,REGION,YEAR,WEEK,TOTAL CASES
644,Wyoming,2010,51,0.0
645,Puerto Rico,2010,51,0.0
646,Virgin Islands,2010,51,0.0
647,New York City,2010,51,0.0
648,Alabama,2010,52,58.0
649,Alaska,2010,52,6.0
650,Arizona,2010,52,131.0
651,Arkansas,2010,52,8.0
652,California,2010,52,35.0
653,Colorado,2010,52,59.0
654,Connecticut,2010,52,102.0
655,Delaware,2010,52,10.0
656,District of Columbia,2010,52,6.0
657,Florida,2010,52,0.0
658,Georgia,2010,52,246.0
659,Hawaii,2010,52,56.0
660,Idaho,2010,52,0.0
661,Illinois,2010,52,37.0
662,Indiana,2010,52,82.0
663,Iowa,2010,52,27.0
664,Kansas,2010,52,7.0
665,Kentucky,2010,52,33.0
666,Louisiana,2010,52,95.0
667,Maine,2010,52,4.0
668,Maryland,2010,52,45.0
669,Massachusetts,2010,52,4.0
670,Michigan,2010,52,8.0
671,Minnesota,2010,52,30.0
672,Mississippi,2010,52,0.0
673,Missouri,2010,52,35.0
674,Montana,2010,52,12.0
675,Nebraska,2010,52,7.0
676,Nevada,2010,52,9.0
677,New Hampshire,2010,52,5.0
678,New Jersey,2010,52,0.0
679,New Mexico,2010,52,4.0
680,New York,2010,52,216.0
681,North Carolina,2010,52,10.0
682,North Dakota,2010,52,6.0
683,Ohio,2010,52,6.0
684,Oklahoma,2010,52,32.0
685,Oregon,2010,52,3.0
686,Pennsylvania,2010,52,127.0
687,Rhode Island,2010,52,0.0
688,South Carolina,2010,52,35.0
689,South Dakota,2010,52,17.0
690,Tennessee,2010,52,25.0
691,Texas,2010,52,186.0
692,Utah,2010,52,227.0
693,Vermont,2010,52,0.0
694,Virginia,2010,52,14.0
695,Washington,2010,52,8.0
696,West Virginia,2010,52,23.0
697,Wisconsin,2010,52,32.0
698,Wyoming,2010,52,3.0
699,Puerto Rico,2010,52,0.0
700,Virgin Islands,2010,52,0.0
701,New York City,2010,52,0.0
702,Alabama,2011,1,55.0
703,Alaska,2011,1,11.0
704,Arizona,2011,1,132.0
705,Arkansas,2011,1,7.0
706,California,2011,1,35.0
707,Colorado,2011,1,53.0
708,Connecticut,2011,1,123.0
709,Delaware,2011,1,37.0
710,District of Columbia,2011,1,4.0
711,Florida,2011,1,0.0
712,Georgia,2011,1,159.0
713,Hawaii,2011,1,68.0
714,Idaho,2011,1,15.0
715,Illinois,2011,1,54.0
716,Indiana,2011,1,101.0
717,Iowa,2011,1,32.0
718,Kansas,2011,1,7.0
719,Kentucky,2011,1,36.0
720,Louisiana,2011,1,90.0
721,Maine,2011,1,12.0
722,Maryland,2011,1,46.0
723,Massachusetts,2011,1,5.0
724,Michigan,2011,1,24.0
725,Minnesota,2011,1,18.0
726,Mississippi,2011,1,0.0
727,Missouri,2011,1,26.0
728,Montana,2011,1,14.0
729,Nebraska,2011,1,26.0
730,Nevada,2011,1,10.0
731,New Hampshire,2011,1,8.0
732,New Jersey,2011,1,0.0
733,New Mexico,2011,1,22.0
734,New York,2011,1,252.0
735,North Carolina,2011,1,17.0
736,North Dakota,2011,1,6.0
737,Ohio,2011,1,5.0
738,Oklahoma,2011,1,70.0
739,Oregon,2011,1,4.0
740,Pennsylvania,2011,1,129.0
741,Rhode Island,2011,1,0.0
742,South Carolina,2011,1,32.0
743,South Dakota,2011,1,21.0
744,Tennessee,2011,1,33.0
745,Texas,2011,1,271.0
746,Utah,2011,1,173.0
747,Vermont,2011,1,0.0
748,Virginia,2011,1,19.0
749,Washington,2011,1,30.0
750,West Virginia,2011,1,37.0
751,Wisconsin,2011,1,46.0
752,Wyoming,2011,1,9.0
753,Puerto Rico,2011,1,0.0
754,Virgin Islands,2011,1,0.0
755,New York City,2011,1,0.0
756,Alabama,2011,2,50.0
757,Alaska,2011,2,26.0
758,Arizona,2011,2,190.0
759,Arkansas,2011,2,21.0
760,California,2011,2,69.0
761,Colorado,2011,2,46.0
762,Connecticut,2011,2,102.0
763,Delaware,2011,2,37.0
764,District of Columbia,2011,2,9.0
765,Florida,2011,2,0.0
766,Georgia,2011,2,107.0
767,Hawaii,2011,2,64.0
768,Idaho,2011,2,22.0
769,Illinois,2011,2,69.0
770,Indiana,2011,2,120.0
771,Iowa,2011,2,71.0
772,Kansas,2011,2,17.0
773,Kentucky,2011,2,29.0
774,Louisiana,2011,2,79.0
775,Maine,2011,2,13.0
776,Maryland,2011,2,99.0
777,Massachusetts,2011,2,14.0
778,Michigan,2011,2,29.0
779,Minnesota,2011,2,25.0
780,Mississippi,2011,2,3.0
781,Missouri,2011,2,49.0
782,Montana,2011,2,25.0
783,Nebraska,2011,2,24.0
784,Nevada,2011,2,13.0
785,New Hampshire,2011,2,14.0
786,New Jersey,2011,2,0.0
787,New Mexico,2011,2,29.0
788,New York,2011,2,231.0
789,North Carolina,2011,2,65.0
790,North Dakota,2011,2,11.0
791,Ohio,2011,2,26.0
792,Oklahoma,2011,2,84.0
793,Oregon,2011,2,8.0
794,Pennsylvania,2011,2,131.0
795,Rhode Island,2011,2,0.0
796,South Carolina,2011,2,31.0
797,South Dakota,2011,2,27.0
798,Tennessee,2011,2,31.0
799,Texas,2011,2,286.0
800,Utah,2011,2,144.0
801,Vermont,2011,2,12.0
802,Virginia,2011,2,29.0
803,Washington,2011,2,40.0
804,West Virginia,2011,2,46.0
805,Wisconsin,2011,2,61.0
806,Wyoming,2011,2,11.0
807,Puerto Rico,2011,2,0.0
808,Virgin Islands,2011,2,0.0
809,New York City,2011,2,0.0
810,Alabama,2011,3,45.0
811,Alaska,2011,3,58.0
812,Arizona,2011,3,194.0
813,Arkansas,2011,3,28.0
814,California,2011,3,48.0
815,Colorado,2011,3,47.0
816,Connecticut,2011,3,141.0
817,Delaware,2011,3,73.0
818,District of Columbia,2011,3,12.0
819,Florida,2011,3,0.0
820,Georgia,2011,3,78.0
821,Hawaii,2011,3,107.0
822,Idaho,2011,3,24.0
823,Illinois,2011,3,66.0
824,Indiana,2011,3,156.0
825,Iowa,2011,3,79.0
826,Kansas,2011,3,19.0
827,Kentucky,2011,3,38.0
828,Louisiana,2011,3,114.0
829,Maine,2011,3,19.0
830,Maryland,2011,3,145.0
831,Massachusetts,2011,3,16.0
832,Michigan,2011,3,18.0
833,Minnesota,2011,3,25.0
834,Mississippi,2011,3,0.0
835,Missouri,2011,3,38.0
836,Montana,2011,3,22.0
837,Nebraska,2011,3,40.0
838,Nevada,2011,3,17.0
